id_unite;nom;type;date_ajout;etat;id_categorie
NULL;Ligne Ass. ADG A7 MA;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. ADG BPF;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. ADG T5;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. ADG X95;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Manuelle boitier MDB1;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE A9 MCM;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE BPF;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE D2-X7-X3;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE J84/ X61 BVA;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE MDB1;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Automatique boitier MDB1;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE P52;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE U60/G9;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE W2;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE X61 BVM;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE X62-X82;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE X70 Ph2-- Mascott;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE X70 PK1;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. CDE X95;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Masse JXQ MP;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Module JXQ -1;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Module JXQ -2;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Module JXQ MP;ligne;2016-07-18;NULL;1
NULL;Ligne Bouterollage Renvoi JXQ MP Inox;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Platine A7;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Platine T5 ;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Platine X7/D2;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Pommeau X70/PK5 Ph2-- Mascott;ligne;2016-07-18;NULL;1
NULL;Ligne Ass. Renvoi T1;ligne;2016-07-18;NULL;1
NULL;P 654;machine;2016-07-18;NULL;2
NULL;P506;machine;2016-07-18;NULL;2
NULL;P509;machine;2016-07-18;NULL;2
NULL;P511;machine;2016-07-18;NULL;2
NULL;P518;machine;2016-07-18;NULL;2
NULL;P540;machine;2016-07-18;NULL;2
NULL;P541;machine;2016-07-18;NULL;2
NULL;P542;machine;2016-07-18;NULL;2
NULL;P548;machine;2016-07-18;NULL;2
NULL;P558;machine;2016-07-18;NULL;2
NULL;P559;machine;2016-07-18;NULL;2
NULL;P560;machine;2016-07-18;NULL;2
NULL;P566;machine;2016-07-18;NULL;2
NULL;P600;machine;2016-07-18;NULL;2
NULL;P601;machine;2016-07-18;NULL;2
NULL;P640;machine;2016-07-18;NULL;2
NULL;P654;machine;2016-07-18;NULL;2
NULL;P660;machine;2016-07-18;NULL;2
NULL;S 104;machine;2016-07-18;NULL;3
NULL;S 106;machine;2016-07-18;NULL;3
NULL;S 111;machine;2016-07-18;NULL;3
NULL;S 113;machine;2016-07-18;NULL;3
NULL;S 116;machine;2016-07-18;NULL;3
NULL;S 121;machine;2016-07-18;NULL;3
NULL;S 124;machine;2016-07-18;NULL;3
NULL;S 125;machine;2016-07-18;NULL;3
NULL;S 127;machine;2016-07-18;NULL;3
NULL;S 128;machine;2016-07-18;NULL;3
NULL;S 133-327;machine;2016-07-18;NULL;3
NULL;S 149-151;machine;2016-07-18;NULL;3
NULL;S 157;machine;2016-07-18;NULL;3
NULL;S 183;machine;2016-07-18;NULL;3
NULL;S 216;machine;2016-07-18;NULL;3
NULL;S 302;machine;2016-07-18;NULL;3
NULL;S 304;machine;2016-07-18;NULL;3
NULL;S 729- 725;machine;2016-07-18;NULL;3
NULL;S 732;machine;2016-07-18;NULL;3
NULL;S 733;machine;2016-07-18;NULL;3
